path,f_name,f_type,f_size_Kb,f_mtime,Owner,Modified_file_size
C:\Users\Admin\OneDrive\.849C9593-D756-4E56-8D6E-42412F2A707B,.849C9593-D756-4E56-8D6E-42412F2A707B,,0,2025-09-03 14:18:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\desktop.ini,desktop,.ini,0,2023-12-15 20:58:58,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Documents - Shortcut.lnk,Documents - Shortcut,.lnk,1,2024-08-18 16:12:29,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Getting started with OneDrive.pdf,Getting started with OneDrive,.pdf,1028,2023-05-28 18:58:45,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Personal Vault.lnk,Personal Vault,.lnk,1,2025-09-03 14:18:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Abhishek_Tadedamath.pdf,Abhishek_Tadedamath,.pdf,134,2025-06-10 10:45:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\ak.pdf,ak,.pdf,129,2024-10-24 18:25:13,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Appointment_Letter_Chethana M..pdf,Appointment_Letter_Chethana M.,.pdf,221,2025-06-12 14:58:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\C complete notes from kaifi sir.pdf,C complete notes from kaifi sir,.pdf,31519,2024-11-09 19:50:07,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Chethana - Chrome.lnk,Chethana - Chrome,.lnk,2,2023-12-20 07:22:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Chethana.M.docx,Chethana.M,.docx,16,2025-05-15 15:52:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Chethana.M.pdf,Chethana.M,.pdf,256,2024-06-06 18:23:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\ChethanaM.pdf,ChethanaM,.pdf,140,2025-03-24 00:02:25,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Clear_Skin_4_Weeks_Plan.pdf,Clear_Skin_4_Weeks_Plan,.pdf,3,2025-08-25 11:10:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\C_Answers.pdf,C_Answers,.pdf,65,2025-07-24 10:48:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\desktop.ini,desktop,.ini,0,2025-09-04 09:23:06,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Docker Desktop.lnk,Docker Desktop,.lnk,2,2025-07-09 17:06:01,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\Docklight.lnk,Docklight,.lnk,1,2025-07-14 10:18:56,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\Documents.zip,Documents,.zip,5534,2025-05-30 18:40:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\File_content_Parser_Poc.pdf,File_content_Parser_Poc,.pdf,134,2025-08-28 15:25:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Jenkins_Notes.docx,Jenkins_Notes,.docx,49,2025-08-25 12:44:38,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Jenkins_Notes[1].pdf,Jenkins_Notes[1],.pdf,330,2025-08-25 15:09:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Keil uVision5.LNK,Keil uVision5,.LNK,2,2025-06-09 09:37:54,BUILTIN\Administrators,0
